vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CP03CASH2,Net_10.141.192.0/18,d675de90-573b-51e7-a3f5-ba6f59d209be,,,,10.141.192.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_P4,v689"
CP03CASH2,Net_10.142.192.0/18,d68ebc58-573b-51e7-b282-727c517912a5,,,,10.142.192.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_P4,v689"
CP03CASH2,Net_10.139.128.0/18,d69f36dc-573b-51e7-e849-f4e3623b6622,,,,10.139.128.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_H3,v692"
CP03CASH2,Net_10.139.192.0/18,d6af8d2a-573b-51e7-d4ce-4e978fb9b187,,,,10.139.192.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_H4,v693"
CP03CASH2,Net_10.56.128.0/18,d6c0a3c6-573b-51e7-8569-c0fda0169c98,,,,10.56.128.0 255.255.192.0,,,W.OMDC.T3T4,"WAN_OMDC_H3,v602"
CP03CASH2,Net_10.56.192.0/18,d6d16ada-573b-51e7-3e97-1308d5bb44f5,,,,10.56.192.0 255.255.192.0,,,W.OMDC.T3T4,"WAN_OMDC_H4,v603"
CP03CASH2,Net_10.57.128.0/18,d6e1e5e0-573b-51e7-200e-ba5af644faf9,,,,10.57.128.0 255.255.192.0,,,W.OMDC.T3T4,"WAN_OMDC_W3,v606"
CP03CASH2,Net_10.57.192.0/18,d6f23a44-573b-51e7-1cec-c1d995b8064b,,,,10.57.192.0 255.255.192.0,,,W.OMDC.T3T4,"WAN_OMDC_W4,v607"
CP03CASH2,Net_10.55.128.0/18,d7035072-573b-51e7-9253-c3b6537fb40b,,,,10.55.128.0 255.255.192.0,,,W.OMDC.T3T4,"WAN_OMDC_P3,v610"
CP03CASH2,Net_10.55.192.0/18,d713cb82-573b-51e7-2409-41a12d2dfd35,,,,10.55.192.0 255.255.192.0,,,W.OMDC.T3T4,"WAN_OMDC_P4,v611"
CP03CASH2,Host_10.164.1.100,d724e174-573b-51e7-19cc-cf12bcd653f5,,,,10.164.1.100 255.255.255.255,,,E.NMC,TKO Time Server
CP03CASH2,Host_10.164.129.100,d735aad6-573b-51e7-6aad-1b3b1adb8e1e,,,,10.164.129.100 255.255.255.255,,,E.NMC,CES Time Server
CP03CASH2,Range_10.164.1.8-9,d74588fc-573b-51e7-3f54-0000f15e0b26,iprange,10.164.1.8,10.164.1.9,,,,E.NMC,TKO BMC
CP03CASH2,Host_10.164.129.8,d756edc2-573b-51e7-d430-23140509e967,,,,10.164.129.8 255.255.255.255,,,E.NMC,CES BMC
CP03CASH2,Range_10.164.1.1-3,d7662f76-573b-51e7-24e9-663d43fab03d,iprange,10.164.1.1,10.164.1.3,,,,E.NMC,TKO Networker
CP03CASH2,Range_10.164.1.37-38,d7783194-573b-51e7-4767-4b61f6c2f23c,iprange,10.164.1.37,10.164.1.38,,,,E.NMC,TKO Networker
CP03CASH2,Host_10.164.1.42,d788ac86-573b-51e7-ec8a-e5fb756c0159,,,,10.164.1.42 255.255.255.255,,,E.NMC,TKO Networker
CP03CASH2,Range_10.164.1.44-45,d7983d18-573b-51e7-d505-ef09b1263275,iprange,10.164.1.44,10.164.1.45,,,,E.NMC,TKO Networker
CP03CASH2,Range_10.164.129.1-3,d7a9a1d4-573b-51e7-cb17-b4783080acc7,iprange,10.164.129.1,10.164.129.3,,,,E.NMC,CES Networker
CP03CASH2,Range_10.164.129.37-38,d7b98112-573b-51e7-42f3-349c8d48288f,iprange,10.164.129.37,10.164.129.38,,,,E.NMC,CES Networker
CP03CASH2,Host_10.164.129.42,d7cb8100-573b-51e7-fed2-ab379f508cf1,,,,10.164.129.42 255.255.255.255,,,E.NMC,CES Networker
CP03CASH2,Range_10.164.129.44-45,d7e1197a-573b-51e7-6206-6ba69557669c,iprange,10.164.129.44,10.164.129.45,,,,E.NMC,CES Networker
CP03CASH2,Host_10.164.1.23,d7fccaee-573b-51e7-3956-29df61345c43,,,,10.164.1.23 255.255.255.255,,,E.NMC,TKO SDRUAPP1
CP03CASH2,Host_10.164.130.23,d80de0cc-573b-51e7-a7f7-1c512adf075c,,,,10.164.130.23 255.255.255.255,,,E.NMC,PCCW SDRUAPP2
CP03CASH2,Range_10.63.142.15-19,d81eaa6a-573b-51e7-78fb-5b0dce295964,iprange,10.63.142.15,10.63.142.19,,,,E.NMC,TKO ORSYP Consoles
CP03CASH2,Host_10.63.142.38,d82f9924-573b-51e7-5fda-30b92a6a5510,,,,10.63.142.38 255.255.255.255,,,E.NMC,TKO ORSYP Consoles
