vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,action,schedule,service,utm-status,logtraffic,ips-sensor,nat,ippool,poolname,comments,status,capture-packet,auto-asic-offload
CT03CASH2,69,TOF ENV ORSTP Agents,ed7cf1f8-6719-51e7-430c-89e1703b9ba4,I.CASH.Trust2,I.TOFAPP,NetGp_OMDC_ORSYP_Agents,Host_10.70.6.11 Host_10.70.16.11,accept,always,PORT_ORSYP_Agents PING,enable,all,otpc-all,,,,SDTF04;NMC2OMD-C-Trust;NMC2TOF-Trust;1;2017_0715 SDTF04;NMC2OCG;NMC2TOF-Trust;1;2017_0715,,,
CT03CASH2,176,TBC30,142384fa-6785-51e7-5f8b-05081053d946,I.TOFAPP,I.SATWEB,Range_10.70.13.61-64,Range_10.70.15.51-52,accept,always,PORT_NTP,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;1;2017_0715,,,
CT03CASH2,177,TBC31,1448371e-6785-51e7-18df-087d3c296f35,I.TOFAPP,I.SATWEB,Host_10.70.13.70 Range_10.70.3.72-73 Host_10.70.13.76 Range_10.70.3.83-84,Range_10.70.15.51-52 Range_10.70.15.61-63,accept,always,PORT_SAT_WEB_MGT UDP/22,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;2;2017_0715,,,
CT03CASH2,178,TBC32,14695822-6785-51e7-d024-07ee354d666b,I.TOFAPP,I.SATWEB,Range_10.70.13.61-64 Range_10.70.3.72-73 Range_10.70.13.72-73,Range_10.70.15.51-52 Range_10.70.15.61-63,accept,always,PORT_ORSYP_Agents,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;4-7;2017_0715,,,
CT03CASH2,179,TBC33,148a9c94-6785-51e7-6342-27c0b10e7252,I.TOFAPP,I.SATWEB,Range_10.70.13.61-62 Range_10.70.3.72-73,Range_10.70.15.51-52 Range_10.70.15.61-63,accept,always,TCP/22,enable,all,otpc-all,,,,"SDTF01;TOF-Trust;TOF-WEB-MGT;4,6;2017_0715",,,
CT03CASH2,180,TBC34,14acf082-6785-51e7-dcd6-575b377a58b1,I.TOFAPP,I.SATWEB,Host_10.70.6.12 Host_10.70.16.12,Range_10.70.15.51-52 Range_10.70.15.61-63 Range_10.70.5.61-63 Range_10.70.5.51-52,accept,always,TCP/1556 TCP/13724,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;8;2017_0715,,,
CT03CASH2,181,TBC35,14cdbe7a-6785-51e7-4da2-862e1aa925ca,I.TOFAPP,I.SATWEB,Host_10.70.6.11 Host_10.70.16.11,Range_10.70.15.51-52 Range_10.70.15.61-63,accept,always,PORT_ORSYP_Agents TCP/383 TCP/9383,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;10;2017_0715,,,
CT03CASH2,182,TBC36,14ee8e2a-6785-51e7-eab0-7be374b487c3,I.TOFAPP,I.SATWEB,Range_10.70.3.63-64 Range_10.70.13.63-64,Range_10.70.15.51-52,accept,always,TCP/22,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;18;2017_0715,,,
CT03CASH2,183,TBC37,15110e1e-6785-51e7-10a0-7ec8735cd739,I.TOFAPP,I.SATWEB,Range_10.70.2.101-102 Range_10.70.12.101-102,Range_10.70.14.101-102,accept,always,TCP/22,enable,all,otpc-all,,,,SDFF01;TOF-Trust;TOF-WEB-MGT;25;2017_0715,,,
CT03CASH2,184,TBC38,15324e30-6785-51e7-8d79-1025b4846c62,I.TOFAPP,I.SATWEB,Net_10.70.5.0 Net_10.70.13.0 Net_10.70.3.0,Net_10.70.15.0,accept,always,TCP/22,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB-MGT;27;2017_0715,,,
CT03CASH2,186,TBC40,157216fa-6785-51e7-230a-385439d3e619,I.SATWEB,I.TOFAPP,Range_10.70.14.51-52,Range_10.70.12.30-32,accept,always,TCP/50000-50005 TCP/51000-51005,enable,all,otpc-all,,,,SDTF01;TOF-WEB;TOF-Trust;1;2017_0715,,,
